Source;Target;Type;weight
Alternative fuer Deutschland;Friedenssicherung;ungerichtet;0.055626192
Alternative fuer Deutschland;Soziale Sicherheit;ungerichtet;0.176149608
Alternative fuer Deutschland;Zuwanderung;ungerichtet;0.148336512
Alternative fuer Deutschland;Klima- und Umweltschutz;ungerichtet;0.244755245
Alternative fuer Deutschland;Wirtschaftswachstum;ungerichtet;0.337465565
Alternative fuer Deutschland;Stabilitaet der Währung;ungerichtet;0.2317758
Alternative fuer Deutschland;Verbraucherschutz;ungerichtet;0.163170163
Buendnis Sahra Wagenknecht;Friedenssicherung;ungerichtet;0.158064516
Buendnis Sahra Wagenknecht;Soziale Sicherheit;ungerichtet;0.082795699
Buendnis Sahra Wagenknecht;Zuwanderung;ungerichtet;0.124193548
Buendnis Sahra Wagenknecht;Klima- und Umweltschutz;ungerichtet;0.270967742
Buendnis Sahra Wagenknecht;Wirtschaftswachstum;ungerichtet;0.52688172
Buendnis Sahra Wagenknecht;Stabilitaet der Währung;ungerichtet;0.316129032
Buendnis Sahra Wagenknecht;Verbraucherschutz;ungerichtet;0.26344086
Christlich Demokratische/Soziale Union;Friedenssicherung;ungerichtet;0.076933645
Christlich Demokratische/Soziale Union;Soziale Sicherheit;ungerichtet;0.182717406
Christlich Demokratische/Soziale Union;Zuwanderung;ungerichtet;0.134633878
Christlich Demokratische/Soziale Union;Klima- und Umweltschutz;ungerichtet;0.341393048
Christlich Demokratische/Soziale Union;Wirtschaftswachstum;ungerichtet;0.379859871
Christlich Demokratische/Soziale Union;Stabilitaet der Währung;ungerichtet;0.221184229
Christlich Demokratische/Soziale Union;Verbraucherschutz;ungerichtet;0.115400467
Die Linke;Friedenssicherung;ungerichtet;0.11441679
Die Linke;Soziale Sicherheit;ungerichtet;0.206719411
Die Linke;Zuwanderung;ungerichtet;0.05288171
Die Linke;Klima- und Umweltschutz;ungerichtet;0.361518598
Die Linke;Wirtschaftswachstum;ungerichtet;0.354788198
Die Linke;Stabilitaet der Währung;ungerichtet;0.265370035
Die Linke;Verbraucherschutz;ungerichtet;0.248063293
Die PARTEI;Friedenssicherung;ungerichtet;0.018125324
Die PARTEI;Soziale Sicherheit;ungerichtet;0.271879855
Die PARTEI;Zuwanderung;ungerichtet;0
Die PARTEI;Klima- und Umweltschutz;ungerichtet;0.489383739
Die PARTEI;Wirtschaftswachstum;ungerichtet;0.163127913
Die PARTEI;Stabilitaet der Währung;ungerichtet;0
Die PARTEI;Verbraucherschutz;ungerichtet;0.181253237
Familien-Partei Deutschlands;Friedenssicherung;ungerichtet;0.04614805
Familien-Partei Deutschlands;Soziale Sicherheit;ungerichtet;0.421925033
Familien-Partei Deutschlands;Zuwanderung;ungerichtet;0.065925786
Familien-Partei Deutschlands;Klima- und Umweltschutz;ungerichtet;0.355999247
Familien-Partei Deutschlands;Wirtschaftswachstum;ungerichtet;0.415332454
Familien-Partei Deutschlands;Stabilitaet der Währung;ungerichtet;0.441702769
Familien-Partei Deutschlands;Verbraucherschutz;ungerichtet;0.164814466
Freie Demokratische Partei;Friedenssicherung;ungerichtet;0.086401202
Freie Demokratische Partei;Soziale Sicherheit;ungerichtet;0.127723516
Freie Demokratische Partei;Zuwanderung;ungerichtet;0.16904583
Freie Demokratische Partei;Klima- und Umweltschutz;ungerichtet;0.247933884
Freie Demokratische Partei;Wirtschaftswachstum;ungerichtet;0.480841473
Freie Demokratische Partei;Stabilitaet der Währung;ungerichtet;0.20661157
Freie Demokratische Partei;Verbraucherschutz;ungerichtet;0.165289256
Freie Waehler;Friedenssicherung;ungerichtet;0.084754313
Freie Waehler;Soziale Sicherheit;ungerichtet;0.158914338
Freie Waehler;Zuwanderung;ungerichtet;0.104177177
Freie Waehler;Klima- und Umweltschutz;ungerichtet;0.270154374
Freie Waehler;Wirtschaftswachstum;ungerichtet;0.256028655
Freie Waehler;Stabilitaet der Währung;ungerichtet;0.164211482
Freie Waehler;Verbraucherschutz;ungerichtet;0.201291494
Buendnis 90/Die Gruenen;Friedenssicherung;ungerichtet;0.098292853
Buendnis 90/Die Gruenen;Soziale Sicherheit;ungerichtet;0.144758566
Buendnis 90/Die Gruenen;Zuwanderung;ungerichtet;0.077442854
Buendnis 90/Die Gruenen;Klima- und Umweltschutz;ungerichtet;0.41104284
Buendnis 90/Die Gruenen;Wirtschaftswachstum;ungerichtet;0.3508757
Buendnis 90/Die Gruenen;Stabilitaet der Währung;ungerichtet;0.160247136
Buendnis 90/Die Gruenen;Verbraucherschutz;ungerichtet;0.236498562
Oekologisch-Demokratische Partei;Friedenssicherung;ungerichtet;0.075023579
Oekologisch-Demokratische Partei;Soziale Sicherheit;ungerichtet;0.249078282
Oekologisch-Demokratische Partei;Zuwanderung;ungerichtet;0.10503301
Oekologisch-Demokratische Partei;Klima- und Umweltschutz;ungerichtet;0.669210323
Oekologisch-Demokratische Partei;Wirtschaftswachstum;ungerichtet;0.240075452
Oekologisch-Demokratische Partei;Stabilitaet der Währung;ungerichtet;0.17105376
Oekologisch-Demokratische Partei;Verbraucherschutz;ungerichtet;0.339106576
Partei des Fortschritts;Friedenssicherung;ungerichtet;0.015494343
Partei des Fortschritts;Soziale Sicherheit;ungerichtet;0.184210526
Partei des Fortschritts;Zuwanderung;ungerichtet;0.120511559
Partei des Fortschritts;Klima- und Umweltschutz;ungerichtet;0.249631087
Partei des Fortschritts;Wirtschaftswachstum;ungerichtet;0.333989179
Partei des Fortschritts;Stabilitaet der Währung;ungerichtet;0.113625184
Partei des Fortschritts;Verbraucherschutz;ungerichtet;0.234136744
Sozialdemokratische Partei Deutschlands;Friedenssicherung;ungerichtet;0.119807899
Sozialdemokratische Partei Deutschlands;Soziale Sicherheit;ungerichtet;0.150206918
Sozialdemokratische Partei Deutschlands;Zuwanderung;ungerichtet;0.107290655
Sozialdemokratische Partei Deutschlands;Klima- und Umweltschutz;ungerichtet;0.422009912
Sozialdemokratische Partei Deutschlands;Wirtschaftswachstum;ungerichtet;0.388034537
Sozialdemokratische Partei Deutschlands;Stabilitaet der Währung;ungerichtet;0.132325142
Sozialdemokratische Partei Deutschlands;Verbraucherschutz;ungerichtet;0.271802994
Partei Mensch Umwelt Tierschutz;Friedenssicherung;ungerichtet;0.05489461
Partei Mensch Umwelt Tierschutz;Soziale Sicherheit;ungerichtet;0.166022723
Partei Mensch Umwelt Tierschutz;Zuwanderung;ungerichtet;0.084350254
Partei Mensch Umwelt Tierschutz;Klima- und Umweltschutz;ungerichtet;1
Partei Mensch Umwelt Tierschutz;Wirtschaftswachstum;ungerichtet;0.182089438
Partei Mensch Umwelt Tierschutz;Stabilitaet der Währung;ungerichtet;0.097739184
Partei Mensch Umwelt Tierschutz;Verbraucherschutz;ungerichtet;0.220917333
Volt Deutschland;Friedenssicherung;ungerichtet;0.065051444
Volt Deutschland;Soziale Sicherheit;ungerichtet;0.177729837
Volt Deutschland;Zuwanderung;ungerichtet;0.202124129
Volt Deutschland;Klima- und Umweltschutz;ungerichtet;0.42515765
Volt Deutschland;Wirtschaftswachstum;ungerichtet;0.354298042
Volt Deutschland;Stabilitaet der Währung;ungerichtet;0.163790242
Volt Deutschland;Verbraucherschutz;ungerichtet;0.221871888
